         star     parallax (arcsec)
       HD089025   0.01256
       HD113139   0.04006
       HD087822   0.01580
       HD124850   0.04497
       HD126660   0.06882
       HD165908   0.06388
       HD039949   0.00036
       HD042454   0.00320
       HD076151   0.05752
       HD122563   0.00376
       HD135722   0.02794
       HD101501   0.10404
       HD075732   0.08103
       HD164349   0.00497
       HD100006   0.001003
       HD145675   0.05511
       HD137759   0.03192
       HD039801   0.00763
       HD018191   0.00808
       HD147394   0.01037
       HD046223   0.00057
       HD164136   0.00410
        GJ105A    0.13927
         GJ15A    0.27876
         GJ205    0.17677
        GJ338A    0.17208
        GJ338B    0.15645
         GJ380    0.20521
         GJ411    0.39264
        GJ412A    0.20627
         GJ526    0.1855
        GJ570A    0.1712
         GJ581    0.15879
         GJ687    0.22084
         GJ699    0.54831
        GJ725A    0.2801
        GJ725B    0.28948
         GJ809    0.14187
        GJ820A    0.2868
        GJ820B    0.28588
         GJ880    0.14609
         GJ887    0.30526
         GJ892    0.15276
