Radius   Mass(r<R) logRho    Lum.      Temp.        logPres.  logOpac.
  2.0395   1.0000  -6.8834   1.4256 4419.6063   4.5651  -0.9222
  2.0395   1.0000  -6.8830   1.4256 4420.1538   4.5656  -0.9217
  2.0395   1.0000  -6.8825   1.4256 4420.8605   4.5661  -0.9210
  2.0395   1.0000  -6.8818   1.4256 4421.9216   4.5669  -0.9199
  2.0395   1.0000  -6.8802   1.4256 4424.3425   4.5688  -0.9174
  2.0395   1.0000  -6.8775   1.4256 4428.2775   4.5719  -0.9134
  2.0395   1.0000  -6.8736   1.4256 4434.2232   4.5763  -0.9075
  2.0395   1.0000  -6.8680   1.4256 4442.9987   4.5828  -0.8989
  2.0395   1.0000  -6.8587   1.4256 4458.2804   4.5937  -0.8844
  2.0395   1.0000  -6.8408   1.4256 4489.7828   4.6147  -0.8563
  2.0395   1.0000  -6.8160   1.4256 4539.7428   4.6443  -0.8164
  2.0394   1.0000  -6.7910   1.4256 4598.7442   4.6751  -0.7751
  2.0394   1.0000  -6.7737   1.4256 4645.3719   4.6968  -0.7459
  2.0393   1.0000  -6.7628   1.4256 4677.1890   4.7107  -0.7273
  2.0393   1.0000  -6.7473   1.4256 4725.9593   4.7308  -0.7004
  2.0393   1.0000  -6.7282   1.4256 4793.5889   4.7562  -0.6660
  2.0392   1.0000  -6.7106   1.4256 4863.5641   4.7801  -0.6334
  2.0392   1.0000  -6.6943   1.4256 4935.5696   4.8029  -0.6031
  2.0392   1.0000  -6.6829   1.4256 4990.8117   4.8191  -0.5821
  2.0392   1.0000  -6.6756   1.4256 5027.9697   4.8297  -0.5689
  2.0391   1.0000  -6.6652   1.4256 5084.1044   4.8450  -0.5505
  2.0391   1.0000  -6.6520   1.4256 5159.7167   4.8647  -0.5278
  2.0391   1.0000  -6.6337   1.4256 5273.8841   4.8926  -0.4962
  2.0390   1.0000  -6.6169   1.4256 5389.1338   4.9188  -0.4651
  2.0390   1.0000  -6.6065   1.4256 5466.4646   4.9354  -0.4428
  2.0390   1.0000  -6.5920   1.4256 5584.0257   4.9592  -0.4039
  2.0389   1.0000  -6.5779   1.4256 5718.2172   4.9836  -0.3488
  2.0389   1.0000  -6.5706   1.4256 5799.6366   4.9971  -0.3101
  2.0389   1.0000  -6.5660   1.4256 5855.6414   5.0059  -0.2818
  2.0388   1.0000  -6.5596   1.4256 5942.6183   5.0187  -0.2360
  2.0388   1.0000  -6.5521   1.4256 6066.6306   5.0352  -0.1683
  2.0388   1.0000  -6.5455   1.4256 6197.2299   5.0512  -0.0946
  2.0387   1.0000  -6.5410   1.4256 6298.2250   5.0627  -0.0357
  2.0387   1.0000  -6.5381   1.4256 6366.0811   5.0703   0.0046
  2.0387   1.0000  -6.5340   1.4256 6468.1997   5.0814   0.0643
  2.0387   1.0000  -6.5287   1.4256 6603.3609   5.0957   0.1390
  2.0387   1.0000  -6.5235   1.4256 6735.7890   5.1096   0.2074
  2.0386   1.0000  -6.5184   1.4256 6864.5204   5.1231   0.2717
  2.0386   1.0000  -6.5132   1.4256 6989.0387   5.1361   0.3344
  2.0386   1.0000  -6.5081   1.4256 7109.0742   5.1488   0.3969
  2.0385   1.0000  -6.5029   1.4256 7224.5016   5.1611   0.4597
  2.0385   1.0000  -6.4977   1.4256 7335.2984   5.1731   0.5229
  2.0385   1.0000  -6.4924   1.4256 7441.5194   5.1847   0.5861
  2.0385   1.0000  -6.4871   1.4256 7543.2744   5.1961   0.6482
  2.0384   1.0000  -6.4792   1.4256 7689.4115   5.2126   0.7377
  2.0384   1.0000  -6.4711   1.4256 7823.4230   5.2285   0.8190
  2.0383   1.0000  -6.4658   1.4256 7909.0269   5.2388   0.8703
  2.0383   1.0000  -6.4605   1.4256 7991.0836   5.2488   0.9191
  2.0383   1.0000  -6.4551   1.4256 8069.7882   5.2586   0.9655
  2.0383   1.0000  -6.4472   1.4256 8183.0949   5.2729   1.0315
  2.0382   1.0000  -6.4367   1.4256 8322.5827   5.2913   1.1117
  2.0382   1.0000  -6.4288   1.4256 8419.5032   5.3046   1.1669
  2.0381   1.0000  -6.4236   1.4256 8481.7730   5.3133   1.2020
  2.0381   1.0000  -6.4159   1.4256 8571.8634   5.3259   1.2524
  2.0381   1.0000  -6.4057   1.4256 8683.8953   5.3423   1.3144
  2.0380   1.0000  -6.3958   1.4256 8788.7336   5.3580   1.3716
