Radius   Mass(r<R) logRho   Lum.     Temp.    logPres. logOpac.
  1.0175   1.0000  -6.8199   1.0404 5785.8992   4.7469  -0.4986
  1.0175   1.0000  -6.8159   1.0404 5793.5554   4.7515  -0.4919
  1.0175   1.0000  -6.8109   1.0404 5803.5686   4.7573  -0.4833
  1.0175   1.0000  -6.8035   1.0404 5818.8105   4.7658  -0.4704
  1.0175   1.0000  -6.7929   1.0404 5841.9078   4.7781  -0.4511
  1.0175   1.0000  -6.7818   1.0404 5868.0931   4.7911  -0.4296
  1.0175   1.0000  -6.7697   1.0404 5899.1253   4.8056  -0.4047
  1.0175   1.0000  -6.7567   1.0404 5935.7281   4.8212  -0.3760
  1.0175   1.0000  -6.7454   1.0404 5970.9272   4.8351  -0.3490
  1.0174   1.0000  -6.7355   1.0404 6004.2512   4.8474  -0.3240
  1.0174   1.0000  -6.7261   1.0404 6038.9817   4.8593  -0.2984
  1.0174   1.0000  -6.7171   1.0404 6075.2085   4.8709  -0.2721
  1.0174   1.0000  -6.7071   1.0404 6119.3451   4.8841  -0.2406
  1.0174   1.0000  -6.6963   1.0404 6172.8899   4.8987  -0.2029
  1.0174   1.0000  -6.6814   1.0404 6258.4406   4.9196  -0.1437
  1.0174   1.0000  -6.6681   1.0404 6356.2717   4.9396  -0.0777
  1.0174   1.0000  -6.6601   1.0404 6426.2567   4.9525  -0.0318
  1.0174   1.0000  -6.6527   1.0404 6501.5717   4.9650   0.0154
  1.0174   1.0000  -6.6476   1.0404 6562.3479   4.9741   0.0517
  1.0174   1.0000  -6.6445   1.0404 6604.3671   4.9801   0.0759
  1.0174   1.0000  -6.6400   1.0404 6669.7527   4.9889   0.1123
  1.0174   1.0000  -6.6346   1.0404 6763.5832   5.0004   0.1627
  1.0174   1.0000  -6.6299   1.0404 6864.5931   5.0116   0.2156
  1.0174   1.0000  -6.6269   1.0404 6946.1419   5.0198   0.2580
  1.0174   1.0000  -6.6251   1.0404 7002.5376   5.0252   0.2876
  1.0174   1.0000  -6.6227   1.0404 7090.3341   5.0331   0.3343
  1.0173   1.0000  -6.6201   1.0404 7215.6875   5.0435   0.4029
  1.0173   1.0000  -6.6180   1.0404 7347.5513   5.0537   0.4784
  1.0173   1.0000  -6.6162   1.0404 7482.7686   5.0636   0.5590
  1.0173   1.0000  -6.6146   1.0404 7617.5777   5.0733   0.6410
  1.0173   1.0000  -6.6128   1.0404 7748.8690   5.0828   0.7201
  1.0173   1.0000  -6.6100   1.0404 7937.6650   5.0966   0.8323
  1.0173   1.0000  -6.6064   1.0404 8107.3957   5.1100   0.9316
  1.0173   1.0000  -6.6037   1.0404 8214.3015   5.1187   0.9933
  1.0173   1.0000  -6.6010   1.0404 8315.2728   5.1273   1.0510
  1.0173   1.0000  -6.5980   1.0404 8410.7259   5.1357   1.1050
  1.0173   1.0000  -6.5934   1.0404 8546.2527   5.1480   1.1807
  1.0173   1.0000  -6.5867   1.0404 8709.0351   5.1638   1.2702
  1.0173   1.0000  -6.5810   1.0404 8829.1090   5.1763   1.3351
  1.0173   1.0000  -6.5765   1.0404 8916.3664   5.1856   1.3816
  1.0172   1.0000  -6.5699   1.0404 9040.3162   5.1993   1.4467
  1.0172   1.0000  -6.5607   1.0404 9189.5873   5.2169   1.5238
  1.0172   1.0000  -6.5537   1.0404 9291.5749   5.2296   1.5757
  1.0172   1.0000  -6.5491   1.0404 9356.6511   5.2379   1.6085
  1.0172   1.0000  -6.5422   1.0404 9450.2349   5.2500   1.6551
  1.0172   1.0000  -6.5330   1.0404 9565.4565   5.2657   1.7117
  1.0172   1.0000  -6.5240   1.0404 9672.4510   5.2808   1.7636
  1.0172   1.0000  -6.5150   1.0404 9772.2951   5.2955   1.8111
  1.0172   1.0000  -6.5062   1.0404 9865.8720   5.3096   1.8550
  1.0171   1.0000  -6.4975   1.0404 9953.9144   5.3233   1.8957
  1.0171   1.0000  -6.4889   1.0404 10037.0354   5.3366   1.9334
  1.0171   1.0000  -6.4805   1.0404 10115.7529   5.3495   1.9686
  1.0171   1.0000  -6.4683   1.0404 10227.8855   5.3681   2.0179
  1.0171   1.0000  -6.4562   1.0404 10329.7489   5.3860   2.0618
  1.0171   1.0000  -6.4484   1.0404 10394.6837   5.3975   2.0893
  1.0171   1.0000  -6.4370   1.0404 10487.9997   5.4143   2.1283
  1.0171   1.0000  -6.4258   1.0404 10574.0932   5.4304   2.1638
  1.0170   1.0000  -6.4185   1.0404 10629.3535   5.4408   2.1863
  1.0170   1.0000  -6.4079   1.0404 10709.2762   5.4560   2.2184
  1.0170   1.0000  -6.3942   1.0404 10808.7377   5.4754   2.2578
  1.0170   1.0000  -6.3809   1.0404 10902.0095   5.4940   2.2940
  1.0170   1.0000  -6.3680   1.0404 10989.8402   5.5119   2.3276
  1.0170   1.0000  -6.3556   1.0404 11072.8473   5.5290   2.3587
  1.0170   1.0000  -6.3436   1.0404 11151.5459   5.5455   2.3877
  1.0169   1.0000  -6.3263   1.0404 11263.7838   5.5691   2.4282
  1.0169   1.0000  -6.3097   1.0404 11365.9983   5.5915   2.4643
  1.0169   1.0000  -6.2991   1.0404 11431.2428   5.6058   2.4868
  1.0169   1.0000  -6.2837   1.0404 11525.1324   5.6265   2.5187
  1.0168   1.0000  -6.2689   1.0404 11612.0053   5.6462   2.5478
  1.0168   1.0000  -6.2593   1.0404 11667.8487   5.6588   2.5662
  1.0168   1.0000  -6.2455   1.0404 11748.7345   5.6771   2.5924
  1.0168   1.0000  -6.2278   1.0404 11849.6840   5.7004   2.6246
  1.0168   1.0000  -6.2150   1.0404 11920.8748   5.7171   2.6470
  1.0168   1.0000  -6.2068   1.0404 11966.9655   5.7279   2.6614
  1.0168   1.0000  -6.1948   1.0404 12034.1669   5.7436   2.6820
  1.0167   1.0000  -6.1794   1.0404 12119.0398   5.7636   2.7077
  1.0167   1.0000  -6.1646   1.0404 12199.6854   5.7828   2.7318
  1.0167   1.0000  -6.1504   1.0404 12276.5318   5.8012   2.7544
  1.0167   1.0000  -6.1367   1.0404 12349.9462   5.8188   2.7757
